Kommunenummer	Stadnamn	Prioritet	Stadtype nynorsk	Stadtype bokmål	Stadtype engelsk	Kommune	Fylke	Lat	Lon	Høgd	Nynorsk	Bokmål	Engelsk	
105	Borgen	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.26618	11.15767		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Borgen/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Borgen/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Borgen/forecast.xml
105	Borgenhaugen	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.26445	11.14982		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Borgenhaugen~2230027/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Borgenhaugen~2230027/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Borgenhaugen~2230027/forecast.xml
105	Borgenhaugen	45	Bygd	Bygd	Village area	Sarpsborg	Østfold	59.26654	11.17823		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Borgenhaugen/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Borgenhaugen/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Borgenhaugen/forecast.xml
105	Enenda	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.28712	11.10231		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Enenda/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Enenda/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Enenda/forecast.xml
105	Fritznerbakken	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.28799	11.11457		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Fritznerbakken/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Fritznerbakken/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Fritznerbakken/forecast.xml
105	Gleng	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.28633	11.11599		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Gleng/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Gleng/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Gleng/forecast.xml
105	Greåker	26	Tettstad	Tettsted	Small town	Sarpsborg	Østfold	59.26592	11.03499		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Greåker/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Greåker/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Greåker/forecast.xml
105	Greåker kirke	55	Kyrkje	Kirke	Church	Sarpsborg	Østfold	59.27246	11.04334		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Greåker_kirke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Greåker_kirke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Greåker_kirke/forecast.xml
105	Grålum	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.29050	11.06808		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Grålum/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Grålum/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Grålum/forecast.xml
105	Hafslund	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.27208	11.15595		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Hafslund~48540/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Hafslund~48540/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Hafslund~48540/forecast.xml
