Postnr	Poststad	Bruksområde	Kommunenummer	Lat	Lon	Merknad	Nynorsk	Bokmål	Engelsk	
7809	Namsos (ikkje i bruk)	Fleire bruksområde	1703	64.47020	11.52030	Datakvalitet: 2. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7809/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7809/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7809/varsel.xml	
7810	Namsos	Gate-/veg-adresse	1703	64.46750	11.49180	Datakvalitet: 6. Koordinatar endra 24.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7810/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7810/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7810/varsel.xml	
7817	Salsnes	Gate-/veg-adresse	1748	64.69170	11.44360	Datakvalitet: 5. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7817/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7817/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7817/varsel.xml	
7818	Lund	Gate-/veg-adresse	1751	64.76710	11.59680	Datakvalitet: 5. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7818/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7818/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7818/varsel.xml	
7819	Fosslandsosen	Gate-/veg-adresse	1703	64.54150	11.26660	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7819/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7819/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7819/varsel.xml	
7820	Spillum	Gateadresser og postboksar	1703	64.45668	11.52953	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7820/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7820/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7820/varsel.xml	
7822	Bangsund	Gateadresser og postboksar	1703	64.39261	11.39376	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7822/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7822/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7822/varsel.xml	
7856	Jøa	Gate-/veg-adresse	1748	64.63728	11.34482	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7856/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7856/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7856/varsel.xml	
7860	Skage i Namdalen	Gate-/veg-adresse	1744	64.46740	11.75640	Datakvalitet: 5. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7860/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7860/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7860/varsel.xml	
7863	Overhalla	Gate-/veg-adresse	1744	64.49360	11.94810	Datakvalitet: 2. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7863/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7863/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7863/varsel.xml	
7864	Overhalla	Postboksar	1744	64.49446	11.94912	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7864/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7864/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7864/varsel.xml	
7869	Skage i Namdalen	Postboksar	1744	64.46380	11.76142	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7869/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7869/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7869/varsel.xml	
7870	Grong	Gate-/veg-adresse	1742	64.46540	12.31490	Datakvalitet: 2. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7870/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7870/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7870/varsel.xml	
7871	Grong	Postboksar	1742	64.46512	12.31271	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7871/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7871/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7871/varsel.xml	
7873	Harran	Gateadresser og postboksar	1742	64.56132	12.49337	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7873/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7873/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7873/varsel.xml	
7882	Nordli	Gateadresser og postboksar	1738	64.46138	13.59560	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7882/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7882/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7882/varsel.xml	
7884	Sørli	Gateadresser og postboksar	1738	64.22363	13.83429	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7884/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7884/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7884/varsel.xml	
7890	Namsskogan	Gateadresser og postboksar	1740	64.92926	13.15941	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7890/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7890/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7890/varsel.xml	
7892	Trones	Gateadresser og postboksar	1740	64.74191	12.84434	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7892/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7892/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7892/varsel.xml	
